Id,ShortName,FullName,HomePage
1,"IADIS","International Association for Development of the Information Society",""
2,"IADT","Issues and Applications of Database Technology","http://www.informatik.uni-trier.de/~ley/db/conf/iadt/index.html"
4,"","IBM Germany Scientific Symposium Series","http://www.informatik.uni-trier.de/~ley/db/conf/ibm/index.html"
5,"ICOMP","International Conference on Internet Computing","http://www.informatik.uni-trier.de/~ley/db/conf/ic/index.html"
6,"ICAC","International Conference on Autonomic Computing","http://www.autonomic-conference.org/"
7,"IC-AI","International Conference on Artificial Intelligence","http://www.world-academy-of-science.org/worldcomp11/ws/conferences/icai11"
8,"ICAIL","International Conference on Artificial Intelligence and Law",NULL
9,"ICALP","International Colloquium on Automata, Languages and Programming","http://icalp11.inf.ethz.ch/"
10,"ICAPS(AIPS)","International Conference on Automated Planning and Scheduling/Artificial Intelligence Planning Systems","http://icaps11.informatik.uni-freiburg.de/"
11,"ICCAD","International Conference on Computer Aided Design","http://iccad.com/2010/index.html"
12,"ICANN","Int. Conference on Artificial Neural Networks","http://www.cis.hut.fi/icann2011/index.php"
13,"ICCBR","Case-Based Reasoning and Development","http://www.informatik.uni-trier.de/~ley/db/conf/iccbr/index.html"
14,"ICCCN","International Conference on Computer Communications and Networks","http://www.icccn.org/icccn11/"
15,"ICCD","International Conference on Computer Design","http://www.world-academy-of-science.org/worldcomp11/ws/conferences/cdes11"
16,"ICCI","International Conference on Computing and Information","http://www.informatik.uni-trier.de/~ley/db/conf/icci/index.html"
17,"ICCI(ieee)","International Conference on Cognitive Informatics","http://www.informatik.uni-trier.de/~ley/db/conf/IEEEicci/index.html"
18,"ICCL","International Conference on Computer Languages","http://www.informatik.uni-trier.de/~ley/db/conf/iccl/index.html"
19,"ICCS","International Conference on Conceptual Structures","http://www.derby.ac.uk/computing/research/iccs"
20,"ICCV","International Conference on Computer Vision","http://www.iccv2011.org/"
21,"ICDCS","International Conference on Distributed Computing Systems","http://www.seas.gwu.edu/~cheng/ICDCS2011/index.html"
22,"ICDE","International Conference on Data Engineering","http://www.icde2011.org/"
23,"ICDM","IEEE International Conference on Data Mining","http://webdocs.cs.ualberta.ca/~icdm2011"
24,"ICDT","International Conference on Database Theory","http://edbticdt2011.it.uu.se/"
25,"ICECCS","International Conference on Engineering of Complex Computer Systems","http://www.iceccs.org/2011/cfp.html"
26,"ICEIS","International Conference on Enterprise Information Systems","http://www.iceis.org/"
27,"ICES","International Conference on Evolvable Systems","http://www.informatik.uni-trier.de/~ley/db/conf/ices/index.html"
28,"ICFP","International Conference on Functional Programming","http://www.icfpconference.org/icfp2010/index.html"
29,"ICIS","International Conference on Information Systems","http://www.waset.org/conferences/2011/phuket/icis/index.php"
30,"ICISC","Information Security and Cryptology","http://www.informatik.uni-trier.de/~ley/db/conf/icisc/index.html"
31,"ICLP(JICSLP)","International Conference on Logic Programming/Joint International Conference and Symposium on Logic Programming","http://www.cs.uky.edu/iclp2011/"
32,"ICME(ICMCS)","International Conference on Multimedia Computing and Systems/International Conference on Multimedia and Expo","http://www.icme2011.org/callforpapers.php"
33,"ICMENS","International Conference on MEMS, NANO, and Smart Systems","http://www.informatik.uni-trier.de/~ley/db/conf/icmens/index.html"
34,"ICMI","International Conference on Multimodal Interaction","http://www.acm.org/icmi/2011/index.php"
35,"ICML","International Conference on Machine Learning","http://www.icml2010.org/"
36,"ICOD","International Conference on Databases","http://www.informatik.uni-trier.de/~ley/db/conf/icod/index.html"
37,"ICPP","International Conference on Parallel Processing","http://www.icpp2011.org/icpp2011.pdf"
38,"ICRA","International Conference on Robotics and Automation","http://www.icra2011.org/show.asp?id=35"
39,"ICS","International Conference on Supercomputing","http://ics11.cs.arizona.edu/cfp.html"
