Id,ShortName,FullName,HomePage
1,"ICOM","Zeitschrift Für Interaktive Und Kooperative Medien","http://www.i-com-media.de"
2,"AEPIA","Inteligencia Artificial,revista Iberoamericana De Inteligencia Artificial","http://aepia.dsic.upv.es/revista/"
3,"IBMRD","Ibm Journal of Research and Development","http://www-tr.watson.ibm.com/journal/rdindex.html"
4,"IBMSJ","Ibm Systems Journal","http://researchweb.watson.ibm.com/journal/"
5,"","Iet Software/iee Proceedings - Software","http://www.ietdl.org/IET-SEN"
6,"TCBB","IEEE/ACM Transactions on Computational Biology and Bioinformatics","http://ieeexplore.ieee.org/servlet/opac?punumber=8857"
7,"TON","IEEE/ACM Transactions on Networking","http://www.ton.seas.upenn.edu/"
8,"ANNALS","IEEE Annals of The History of Computing","http://ieeexplore.ieee.org/servlet/opac?punumber=85"
9,"COMSUR","IEEE Communications Surveys and Tutorials","http://www.comsoc.org/livepubs/surveys/index.html"
10,"CIB","IEEE Computational Intelligence Bulletin","http://www.comp.hkbu.edu.hk/~cib"
11,"COMPUTER","IEEE Computer","http://ieeexplore.ieee.org/servlet/opac?punumber=2"
12,"DEBU","IEEE Data(base) Engineering Bulletin","http://tab.computer.org/tcde/bull_about.html"
13,"DSONLINE","IEEE Distributed Systems Online","dsonline.computer.org/"
14,"EXPERT","IEEE Expert / IEEE Intelligent Systems","http://ieeexplore.ieee.org/servlet/opac?punumber=9670"
15,"INTERNET","IEEE Internet Computing","http://www.computer.org/internet/"
16,"JSAC","IEEE Journal on Selected Areas in Communications","http://ieeexplore.ieee.org/servlet/opac?punumber=49"
17,"SOFTWARE","IEEE Software","www.computer.org/software"
18,"TC","IEEE Transactions on Computers","http://www.computer.org/portal/web/tc"
19,"TDSC","IEEE Transactions on Dependable and Secure Computing","http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858"
20,"TEC","IEEE Transactions on Evolutionary Computation","http://www.ieee-nns.org/pubs/tec/"
21,"TITB","IEEE Transactions on Information Technology in Biomedicine","http://ieeexplore.ieee.org/servlet/opac?punumber=4233"
22,"TKDE","IEEE Transactions on Knowledge and Data Engineering","www.computer.org/tkde/"
23,"TMI","IEEE Transactions on Medical Imaging","http://www.ieee-tmi.org/"
24,"TMC","IEEE Transactions on Mobile Computing","http://www.computer.org/tmc"
25,"PAMI","IEEE Transactions on Pattern Analysis and Machine Intelligence","http://computer.org/tpami/"
26,"TPDS","IEEE Transactions on Parallel and Distributed Systems","www.computer.org/tpds/"
27,"TSE","IEEE Transactions on Software Engineering","http://ieeexplore.ieee.org/servlet/opac?punumber=32"
28,"TSMC","IEEE Transactions on Systems, Man, and Cybernetics","http://www.ieee-smc.org/"
29,"TVCG","IEEE Transactions on Visualization and Computer Graphics","www.computer.org/tvcg/"
30,"IGPL","Logic Journal of The Igpl / Bulletin of The Igpl","http://www3.oup.co.uk/jigpal/"
31,"IVC","Image and Vision Computing","http://www.sciencedirect.com/science/journal/02628856"
32,"IJIG","International Journal of Image and Graphics","http://ejournals.wspc.com.sg/ijig/ijig.shtml"
33,"IMDS","Industrial Management and Data Systems","http://www.emeraldinsight.com/imds.htm"
35,"INFORMATICALT","Informatica (lithuanian Academy of Sciences)","http://www.mii.lt/informatica/"
36,"INFORMATICASI","Informatica (slovenia)","http://ai.ijs.si/informatica/"
37,"IFE","Informatik - Forschung Und Entwicklung","http://www.springerlink.com/content/100528/"
39,"INSK","Informatik Spektrum","www.springer.com/computer/journal/287"
40,"IANDC","Information and Computation/information and Control","http://www.sciencedirect.com/science/journal/08905401"
41,"INFSOF","Information & Software Technology","http://www.sciencedirect.com/science/journal/09505849"
42,"TISSEC","ACM Transactions on Information and System Security","http://www.acm.org/tissec/"
43,"INFFUS","Information Fusion","http://www.elsevier.com/locate/inffus"
44,"IMCS","Information Management & Computer Security","http://www.emeraldinsight.com/imcs.htm"
45,"IPM","Information Processing and Management","http://www.sciencedirect.com/science/journal/03064573"
46,"IPL","Information Processing Letters","www.elsevier.com/locate/ipl"
47,"IR","Information Retrieval","http://www.springerlink.com/content/103814/"
48,"ISCI","Information Sciences","http://www.sciencedirect.com/science/journal/00200255"
49,"TIS","The Information Society","http://www.tandfonline.com/loi/utis20"
50,"IS","Information Systems","www.elsevier.com/locate/infosys"
51,"TOIS","ACM Transactions on Information Systems","http://www.acm.org/tois/"
52,"ISEM","Information Systems and E-business Management","http://www.springerlink.com/openurl.asp?genre=journal&issn=1617-9846"
53,"ISJ","Information Systems Journal","http://disc.brunel.ac.uk/isj/"
54,"ITA","Theoretical Informatics and Applications","http://www.edpsciences.org/journal/index.cfm?edpsname=ita"
55,"INFORMS","Informs Journal on Computing","http://joc.pubs.informs.org/"
56,"APIN","Applied Intelligence","www.springer.com/computer/ai/journal/10489"
57,"IDA","Intelligent Data Analysis","http://www.iospress.nl/html/1088467x.html"
58,"JIIS","Journal of Intelligent Information Systems","http://www.springerlink.com/content/100289/"
59,"IJIS","International Journal of Intelligent Systems","http://www.interscience.wiley.com/jpages/0884-8173/"
60,"IA","Intelligenza Artificiale","http://ia.di.uniba.it/"
61,"IWC","Interacting with Computers","http://www.elsevier.com/locate/intcom"
62,"JOIN","Journal of Interconnection Networks","http://www.worldscinet.com/journals/join/join.shtml"
63,"IAJIT","The International Arab Journal of Information Technology","http://www.iajit.org/"
64,"JODL","International Journal on Digital Libraries","http://link.springer.de/link/service/journals/00799/index.htm"
65,"IJDAR","International Journal on Document Analysis and Recognition","http://link.springer.de/link/service/journals/10032/index.htm"
66,"STTT","International Journal on Software Tools for Technology Transfer","http://link.springer.de/link/service/journals/10009/index.htm"
67,"IJAR","International Journal of Approximate Reasoning","http://www.sciencedirect.com/science/journal/0888613X"
68,"IJCGA","International Journal of Computational Geometry and Applications","http://www.worldscinet.com/ijcga/ijcga.shtml"
70,"IJCM","International Journal of Computer Mathematics","http://taylorandfrancis.metapress.com/openurl.asp?genre=journal&issn=0020-7160"
72,"IJCIS","International Journal of Cooperative Information Systems","http://www.worldscinet.com/ijcis/ijcis.shtml"
73,"IJFCS","International Journal of Foundations of Computer Science","http://www.worldscinet.com/journals/ijfcs/ijfcs.shtml"
74,"IJHCI","International Journal of Human-computer Interaction","http://www.leaonline.com/loi/ijhc"
75,"IJMMS","International Journal of Human-computer Studies / International Journal of Man-machine Studies","http://www.elsevier.com/locate/issn/1071-5819"
76,"IJIGS","International Journal of Intelligent Games & Simulation","http://www.scit.wlv.ac.uk/~cm1822/ijigs.htm"
77,"IJHIS","International Journal of Hybrid Intelligent Systems","http://www.iospress.nl/loadtop/load.php?isbn=14485869"
78,"IJNS","International Journal of Neural Systems","http://ejournals.wspc.com.sg/journals/ijns/ijns.shtml"
79,"IJPP","International Journal of Parallel Programming","http://www.wkap.nl/journalhome.htm/0885-7458"
80,"IJSEKE","International Journal of Software Engineering and Knowledge Engineering","http://ejournals.wspc.com.sg/journals/ijseke/ijseke.shtml"
81,"IJRR","International Journal of Robotic Research","www.ijrr.org/"
82,"IJUFKS","International Journal of Uncertainty, Fuzziness and Knowledge-based Systems","http://www.worldscinet.com/ijufks/ijufks.shtml"
83,"IJWET","International Journal of Web Engineering and Technology","http://www.inderscience.com/browse/index.php?journalCODE=ijwet"
84,"JWSR","International Journal of Web Services Research","http://www.idea-group.com/journals/details.asp?id=4138"
85,"TOIT","ACM Transactions on Internet Technology","http://www.acm.org/toit/"
87,"IT","Information Technology","http://www.oldenbourg-verlag.de/wissenschaftsverlag/it-information-technology/16112776"
88,"SCJAPAN","Systems and Computers in Japan","http://www.interscience.wiley.com/jpages/0882-1666/"
89,"JACM","Journal of The ACM","http://www.acm.org/jacm/"
90,"JAL","Journal of Algorithms","http://www.sciencedirect.com/science/journal/01966774"
91,"JANCL","Journal of Applied Non-classical Logics","http://www.irit.fr/JANCL/"
92,"JAT","Journal of Approximation Theory","http://www.math.ohio-state.edu/JAT/"
93,"JAIR","Journal of Artificial Intelligence Research","http://www.cs.washington.edu/research/jair/home.html"
94,"JALC","Journal of Automata, Languages and Combinatorics","http://www.jalc.de/"
95,"JAR","Journal of Automated Reasoning","http://www.wkap.nl/journalhome.htm/0168-7433"
96,"JCSC","Journal of Circuits, Systems, and Computers","http://www.worldscinet.com/jcsc/jcsc.shtml"
97,"JCO","Journal of Combinatorial Optimization","http://www.springer.com/mathematics/numbers/journal/10878"
98,"JCT","Journal of Combinatorial Theory","http://www.elsevier.com/locate/jcta"
99,"JCD","ACM Journal of Computer Documentation","http://www.acm.org/jcdl/jcdl01/"
100,"JCAL","Journal of Computer Assisted Learning","http://jcal.info/"
101,"JCISE","Journal of Computing and Information Science in Engineering","http://asudesign.eas.asu.edu/links/journal/index.html"
102,"JCSS","Journal of Computer and System Sciences","http://www.sciencedirect.com/science/journal/00220000"
103,"JCMC","Journal of Computer-mediated Communication","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101"
104,"JCST","Journal of Computer Science and Technology","http://jcst.ict.ac.cn/"
105,"JCS","Journal of Computer Security","http://www.mitre.org/public/jcs/"
106,"JOC","Journal of Cryptology","http://link.springer.de/link/service/journals/00145/index.htm"
107,"JDM","Journal of Database Management","http://www.idea-group.com/journals/details.asp?id=198"
108,"JODI","Journal of Digital Information","journals.tdl.org/jodi/"
109,"JDA","Journal of Discrete Algorithms","http://www.sciencedirect.com/science/journal/15708667"
110,"TOCE/JERIC","ACM Transactions on Computing Education / ACM Journal of Educational Resources in Computing","http://www.acm.org/pubs/jeric/"
111,"JECR","Journal of Electronic Commerce Research","http://www.csulb.edu/web/journals/jecr/"
113,"JEA","ACM Journal of Experimental Algorithms","http://www.jea.acm.org/"
114,"JETAI","Journal of Experimental and Theoretical Artificial Intelligence","http://www.tandf.co.uk/journals/tf/0952813X.html"
115,"JFLP","Journal of Functional and Logic Programming","http://danae.uni-muenster.de/lehre/kuchen/JFLP/"
116,"JFP","Journal of Functional Programming","http://journals.cambridge.org/action/displayJournal?jid=JFP"
117,"JGAA","Journal of Graph Algorithms and Applications","http://jgaa.info/"
118,"GRID","Journal of Grid Computing","http://www.kluweronline.com/issn/1570-7873/contents"
119,"HEURISTICS","Journal of Heuristics","http://www.kluweronline.com/issn/1381-1231"
120,"EIK","Journal of Information Processing and Cybernetics / Elektronische Informationsverarbeitung Und Kybernetik",""
121,"JISE","Journal of Information Science and Engineering","http://www.iis.sinica.edu.tw/page/jise/Introduction.html"
123,"JLP","The Journal of Logic and Algebraic Programming","www.elsevier.com/locate/jlap"
124,"LOGCOM","Journal of Logic and Computation","http://www.oup.co.uk/jnls/list/logcom/"
125,"JOLLI","Journal of Logic, Language and Information","http://www.wkap.nl/journalhome.htm/0925-8531"
126,"JMLR","Journal of Machine Learning Research","http://www.jmlr.org/"
127,"JMMA","Journal of Mathematical Modelling and Algorithms","http://www.kluweronline.com/issn/1570-1166/"
128,"JOOP","Journal of Object-oriented Programming",""
129,"JOT","Journal of Object Technology","http://www.jot.fm/"
130,"JPDC","Journal of Parallel and Distributed Computing","http://www.sciencedirect.com/science/journal/07437315"
131,"JPL","Journal of Programming Languages",""
132,"JQL","Journal of Quantitative Linguistics","http://www.informaworld.com/openurl?genre=journal&issn=09296174"
133,"ACJ","Journal of Research and Practice in Information Technology","http://www.jrpit.acs.org.au"
134,"SCHEDULING","Journal of Scheduling","http://www.kluweronline.com/issn/1094-6136"
135,"SMR","Journal of Software Maintenance and Evolution: Research and Practice","http://www.interscience.wiley.com/jpages/1532-060X/"
136,"JSC","Journal of Symbolic Computation","http://www.elsevier.com/locate/issn/0747-717"
137,"JSYML","Journal of Symbolic Logic","https://www.aslonline.org/journals-journal.html"
138,"JSS","Journal of Systems and Software","www.elsevier.com/locate/jss"
139,"JSI","Journal of Systems Integration","http://www.wkap.nl/journalhome.htm/0925-4676"
140,"JAIS","Journal of The Ais","http://jais.aisnet.org/"
