AuthorId,ConfirmedPaperIds,DeletedPaperIds
826,25733 47276 77012 79468 87141 101385 104556 111260 116923 118648 228773 295435 300715 302130 310637 314641 338324 373545 426723 447937 510474 517776 533641 538977 592575 600927 672626 698805 700683 723435 746784 785562 808429 890199 897009 913794 936615 945411 1026529 1034798 1047040 1114058 1157180 1204132 1217013 1221505 1222881 1223801 1236661 1243916 1296119 1351053 1413981 1487102 1503751 1516844 1573814 1582180 1591758 1592682 1595073 1601536 1638967 1676317 1685169 1707309 1778983 1836292 1866316 1872891 1905067 1906261 1985278 2108882 2117473 2140936 2149742 2182681 2186283 2208076,220293 379873 384468 565252 939749 944658 1164760 1659466 1810229 1832762 1982963 1987959
933,1739240,477879
1118,49963 93433 341015 415282 488635 517119 521922 911302 1183023 1273213 1388769 1410287 1504258 1516619 1775910 2060484 2143292,961444 1446566
2783,154377 212636 334024 350747 696269 704564 1241577 1272282 1459436 1561484 1756670 1824008 1958753 2121492,208521 1207662 1898210
3105,603562 647574 792910 844605 863071 878798 1082346 1111156 1120799 1266789 1420740 1583963 2109712 2155401,191079 226980 273592 529834 556687 1052455 1319449 1381158 1698510 1714445
3144,376255 428765 462200 487875 706045 1411535 1452311 1648377 1840213 2021740,1503087 1752173 1830270 1987169
4203,36533 89762 122237 155362 163200 202352 245126 271113 294909 324461 374380 394966 401754 414536 453462 457584 457730 476305 512376 540985 551440 570501 584697 658521 688297 728755 738398 754748 769552 819299 857177 874532 883108 884131 921862 931121 941096 954716 985649 1014925 1039673 1045181 1045877 1052250 1064119 1071435 1109293 1137932 1185478 1215625 1244329 1275338 1277931 1318419 1337254 1338655 1339110 1347090 1397918 1420679 1451078 1458398 1474713 1493790 1494923 1532874 1560112 1573235 1617211 1677125 1701881 1774934 1796035 1805329 1826400 1867293 1869526 1889845 1922688 1935033 1981725 1990822 1992413 1999361 2022443 2024181 2028664 2030003 2034314 2089741 2091719 2108179 2119532 2130251 2149519 2222732 2226437,309526
4272,7826 34156 64385 68344 78214 167102 174439 184990 190921 199523 200828 246042 248934 268266 270249 280021 352093 360655 442606 473431 475607 487747 495986 496120 537193 549227 576869 578896 590747 604520 718278 735576 756296 766497 768731 878807 891496 927415 948160 957373 974574 984932 1009775 1084092 1084827 1090319 1119049 1142994 1190859 1250602 1263847 1271825 1286597 1353173 1390066 1423996 1538343 1539670 1550864 1569211 1573213 1582261 1598261 1670666 1682840 1685991 1752809 1802032 1853839 1894623 1980957 1981158 2019642 2075896 2076685 2196958 2249212,2105256
6352,23181 77393 649492 690714 720689 1096896 1289525 1413440 1837664 2172024,1696389 2187792
6874,19582 24145 250457 285947 293645 368698 781884 872278 946217 1190111 1247122 1474572 1515907 1593158 1595968 1599189 1883116 1917487 2015333 2211469 2220694,3905 19330 24605 171132 208117 629107 752277 783347 819536 877394 1097445 1210330 1398626 1414161 1463883 1516396 1531051 1543300 1760721 1819723 1822706 2011069 2015333 2057958 2086533 2121501 2196653
